                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.712,                 2.0034,                 1.7182,                0.61218,                0.41973,                0.39711,                 0.1607,                 1.9933,                 2.0758,                 2.1288,             0.00041621,             0.00041621,             0.00041621
                      2,                 1.6987,                 1.8775,                  1.749,                0.52109,                0.48367,                 0.4521,                0.18602,                 2.0269,                 1.8484,                  2.092,             0.00081638,             0.00081638,             0.00081638
                      3,                 1.6489,                 1.7239,                 1.7022,                0.61048,                0.52745,                0.55576,                0.24984,                 1.8996,                 1.5927,                 2.0629,              0.0012001,              0.0012001,              0.0012001
                      4,                 1.5631,                 1.5872,                 1.6581,                 0.6708,                0.57259,                0.59356,                0.27009,                 1.8738,                 1.5364,                 2.0442,              0.0011757,              0.0011757,              0.0011757
                      5,                 1.4842,                 1.4419,                 1.5942,                 0.7507,                  0.622,                0.68004,                0.33162,                 1.7486,                 1.3163,                 1.9531,              0.0011757,              0.0011757,              0.0011757
                      6,                 1.4298,                 1.3493,                 1.5567,                0.75778,                0.65643,                0.70464,                0.34184,                 1.7031,                 1.2655,                 1.9058,               0.001151,               0.001151,               0.001151
                      7,                 1.3707,                 1.2459,                 1.5142,                0.75226,                0.69434,                0.73029,                0.37078,                 1.6693,                 1.1985,                 1.8471,              0.0011263,              0.0011263,              0.0011263
                      8,                 1.3273,                 1.1877,                 1.4877,                0.78692,                0.69302,                0.73938,                0.38193,                 1.6299,                 1.1574,                 1.8735,              0.0011015,              0.0011015,              0.0011015
                      9,                 1.2909,                 1.1335,                 1.4603,                0.80891,                0.69441,                 0.7559,                  0.397,                 1.6397,                 1.0783,                 1.8548,              0.0010768,              0.0010768,              0.0010768
                     10,                 1.2511,                 1.0729,                 1.4311,                0.75155,                0.71998,                0.74859,                0.39029,                 1.6247,                 1.1055,                 1.8572,               0.001052,               0.001052,               0.001052
                     11,                  1.212,                 1.0258,                 1.4018,                0.82686,                0.70391,                 0.7677,                0.40955,                 1.5896,                 1.0382,                 1.8271,              0.0010273,              0.0010273,              0.0010273
                     12,                 1.1917,                0.99924,                 1.3917,                0.83209,                0.74321,                0.80578,                0.43218,                 1.5545,                 1.0034,                 1.8057,              0.0010025,              0.0010025,              0.0010025
                     13,                 1.1811,                0.98237,                 1.3759,                0.78791,                0.74187,                0.77335,                0.41123,                 1.5726,                 1.0148,                 1.8282,             0.00097775,             0.00097775,             0.00097775
                     14,                 1.1361,                0.92777,                 1.3472,                 0.8125,                0.73489,                0.78819,                0.42868,                 1.5515,                 0.9844,                 1.7849,               0.000953,               0.000953,               0.000953
                     15,                 1.1243,                0.89689,                 1.3358,                0.83645,                0.73954,                0.80103,                0.44756,                 1.5027,                0.96208,                 1.7375,             0.00092825,             0.00092825,             0.00092825
                     16,                 1.0948,                0.88434,                 1.3229,                0.80674,                0.73224,                0.80131,                0.44558,                 1.5251,                0.94678,                 1.7725,              0.0009035,              0.0009035,              0.0009035
                     17,                 1.0572,                0.83217,                 1.2973,                 0.7836,                 0.7639,                 0.8094,                0.43678,                 1.5309,                0.92861,                 1.7797,             0.00087875,             0.00087875,             0.00087875
                     18,                 1.0568,                0.83069,                 1.2907,                0.84886,                0.75151,                0.83485,                0.45571,                 1.5228,                0.86133,                 1.7684,               0.000854,               0.000854,               0.000854
                     19,                   1.03,                0.80927,                  1.279,                0.80666,                0.75271,                0.81249,                0.45116,                 1.5217,                0.90355,                 1.7517,             0.00082925,             0.00082925,             0.00082925
